"from","to","n"
"Gómez Escobar, Francisco","El Repertorio. Revista Mensual Ilustrada",2
"Gómez Escobar, Francisco","La Bohemia Alegre",1
"Gómez Escobar, Francisco","Lectura Amena",1
"Gómez Escobar, Francisco","Lectura y Arte",2
"Gómez Jaime de Abadía, Herminia","Cultura",1
"Gómez Jaime, Alfredo","La Gruta",3
"Gómez Jaime, Alfredo","Lectura Amena",1
"Gómez Jaime, Alfredo","Lectura y Arte",1
"Gómez Jaime, Alfredo","Revista Contemporánea",1
"Gómez Naranjo, Abelardo","Cultura",2
"Gómez Restrepo, Antonio","Alpha",2
"Gómez Restrepo, Antonio","Cultura",4
"Gómez Restrepo, Antonio","Revista Contemporánea",2
"Gómez Restrepo, Antonio","Revista Literaria. Publicación Mensual",3
"Gómez Restrepo, Antonio","Revista Moderna. (Enciclopedia colombiana)",2
"Gómez Restrepo, Antonio","Trofeos",8
"Gómez de Baquero, Eduardo","Revista Literaria. Publicación Mensual",2
"Gómez, Enrique","La Gruta",1
"Gómez, Jaime Alfredo","Revista Contemporánea",1
"Gómez, Lucas","Lectura Amena",1
"Gómez, Plinio","La Gruta",1
"Güell, Joaquín M.","La Gruta",5
"Güell, Joaquín M.","Trofeos",1
"Güell, Joaquín M. ","Revista Moderna. (Enciclopedia colombiana)",1
"Hawthorne, Nathaniel","Cultura",1
"Hearn, Lafcadio","Alpha",3
"Heine, Heinrich","El Montañés",2
"Heine, Heinrich","El Repertorio. Revista Mensual Ilustrada",1
"Heine, Heinrich","Revista Literaria. Publicación Mensual",2
"Henao, Federico Carlos","El Montañés",1
"Henao, Federico Carlos","El Repertorio. Revista Mensual Ilustrada",3
"Henao, Federico Carlos","La Bohemia Alegre",11
"Hephel","Revista Literaria. Publicación Mensual",2
"Heredia Márquez, Francisco de","La Gruta",1
"Heredia Márquez, Francisco de ","Revista Contemporánea",3
"Heredia, José María de","Lectura Amena",1
"Heredia, José María de","Revista Literaria. Publicación Mensual",1
"Heredia, José María de","Trofeos",11
"Hermant, Abel","Revista Moderna. (Enciclopedia colombiana)",1
"Hernández Catá, Alfonso","Alpha",1
"Hernández, Luis María","El Repertorio. Revista Mensual Ilustrada",1
"Herrera, Benjamín","Revista Moderna. (Enciclopedia colombiana)",1
"Herrán, Pablo Emilio","La Gruta",1
"Hidalgo Lara, Tomás","Revista Literaria. Publicación Mensual",2
"Hinestroza Daza, Ricardo","Revista Contemporánea",5
"Hoffmann, Ernst Theodor Amadeus","Revista Literaria. Publicación Mensual",1
"Holguín Caro, Hernando","Cultura",1
